IDCASA	CP	ESR_DATETIME	HABITACION
35	48600	2015-06-30 21:19:02	Puerta
35	48600	2015-06-30 21:19:02	Puerta
35	48600	2015-06-30 21:19:02	Puerta
35	48600	2015-06-30 21:48:15	Cocina
35	48600	2015-06-30 21:53:27	Baño pequeño
35	48600	2015-06-30 21:57:44	Entrada
35	48600	2015-06-30 21:57:48	Salon
35	48600	2015-06-30 22:16:55	Entrada
35	48600	2015-06-30 22:18:20	Salon
35	48600	2015-06-30 22:24:47	Salon
35	48600	2015-06-30 22:40:06	Entrada
35	48600	2015-06-30 23:04:57	Entrada
35	48600	2015-06-30 23:19:44	Entrada
35	48600	2015-06-30 23:26:48	Entrada
35	48600	2015-06-30 23:41:03	Entrada
35	48600	2015-06-30 23:54:51	Entrada
35	48600	2015-07-01 00:00:13	Entrada
35	48600	2015-07-01 00:07:09	Entrada
35	48600	2015-07-01 00:13:23	Salon
35	48600	2015-07-01 00:13:28	Baño pequeño
35	48600	2015-07-01 00:15:47	Entrada
35	48600	2015-07-01 00:15:49	Salon
35	48600	2015-07-01 00:29:10	Entrada
35	48600	2015-07-01 00:46:06	Entrada
35	48600	2015-07-01 00:51:48	Salon
35	48600	2015-07-01 00:51:50	Entrada
35	48600	2015-07-01 00:52:06	Baño pequeño
35	48600	2015-07-01 00:52:16	Cocina
35	48600	2015-07-01 00:52:32	Entrada
35	48600	2015-07-01 00:52:42	Baño pequeño
35	48600	2015-07-01 08:07:13	Baño pequeño
35	48600	2015-07-01 08:07:14	Entrada
35	48600	2015-07-01 08:07:16	Salon
35	48600	2015-07-01 08:07:40	Entrada
35	48600	2015-07-01 08:11:22	Salon
35	48600	2015-07-01 08:11:25	Entrada
35	48600	2015-07-01 08:11:30	Baño pequeño
35	48600	2015-07-01 08:13:49	Salon
35	48600	2015-07-01 09:26:32	Baño pequeño
35	48600	2015-07-01 09:26:57	Entrada
35	48600	2015-07-01 09:27:49	Salon
35	48600	2015-07-01 09:53:56	Cocina
35	48600	2015-07-01 09:53:58	Entrada
35	48600	2015-07-01 09:54:07	Cocina
35	48600	2015-07-01 10:26:48	Cocina
35	48600	2015-07-01 10:42:33	Baño pequeño
35	48600	2015-07-01 10:46:31	Entrada
35	48600	2015-07-01 10:46:33	Salon
35	48600	2015-07-01 11:44:20	Salon
35	48600	2015-07-01 11:44:21	Entrada
35	48600	2015-07-01 11:51:59	Baño pequeño
35	48600	2015-07-01 11:56:44	Habitación 1
35	48600	2015-07-01 12:13:31	Baño pequeño
35	48600	2015-07-01 12:13:33	Entrada
35	48600	2015-07-01 12:16:01	Baño pequeño
35	48600	2015-07-01 12:33:47	Baño pequeño
35	48600	2015-07-01 12:44:04	Cocina
35	48600	2015-07-01 12:48:41	Baño pequeño
35	48600	2015-07-01 13:00:41	Entrada
35	48600	2015-07-01 13:01:43	Habitación 2
35	48600	2015-07-01 13:01:55	Puerta
35	48600	2015-07-01 13:01:55	Puerta
35	48600	2015-07-01 13:01:55	Puerta
35	48600	2015-07-01 13:01:55	Puerta
35	48600	2015-07-01 13:01:55	Puerta
35	48600	2015-07-01 13:20:52	Puerta
35	48600	2015-07-01 13:20:53	Puerta
35	48600	2015-07-01 13:20:53	Puerta
35	48600	2015-07-01 13:20:53	Puerta
35	48600	2015-07-01 13:20:53	Puerta
35	48600	2015-07-01 13:20:54	Entrada
35	48600	2015-07-01 13:22:05	Baño pequeño
35	48600	2015-07-01 13:25:44	Entrada
35	48600	2015-07-01 13:28:57	Salon
35	48600	2015-07-01 13:45:10	Cocina
35	48600	2015-07-01 13:53:10	Cocina
35	48600	2015-07-01 14:46:53	Cocina
35	48600	2015-07-01 14:49:53	Entrada
35	48600	2015-07-01 14:49:55	Salon
35	48600	2015-07-01 14:49:57	Entrada
35	48600	2015-07-01 14:50:01	Salon
35	48600	2015-07-01 14:59:26	Entrada
35	48600	2015-07-01 15:09:59	Entrada
35	48600	2015-07-01 15:31:08	Entrada
35	48600	2015-07-01 15:38:39	Entrada
35	48600	2015-07-01 15:38:47	Salon
35	48600	2015-07-01 15:44:19	Entrada
35	48600	2015-07-01 15:51:49	Entrada
35	48600	2015-07-01 15:57:20	Salon
35	48600	2015-07-01 16:01:14	Entrada
35	48600	2015-07-01 16:12:10	Salon
35	48600	2015-07-01 16:14:33	Entrada
35	48600	2015-07-01 16:14:38	Baño pequeño
35	48600	2015-07-01 16:16:19	Entrada
35	48600	2015-07-01 16:16:21	Salon
35	48600	2015-07-01 16:24:36	Salon
35	48600	2015-07-01 16:30:49	Entrada
35	48600	2015-07-01 16:35:39	Salon
35	48600	2015-07-01 16:49:15	Salon
35	48600	2015-07-01 16:49:19	Entrada
35	48600	2015-07-01 16:51:23	Salon
35	48600	2015-07-01 16:55:56	Entrada
35	48600	2015-07-01 16:57:22	Salon
35	48600	2015-07-01 17:05:07	Entrada
35	48600	2015-07-01 17:12:14	Entrada
35	48600	2015-07-01 17:16:09	Salon
35	48600	2015-07-01 17:16:53	Puerta
35	48600	2015-07-01 17:16:53	Puerta
35	48600	2015-07-01 17:16:53	Puerta
35	48600	2015-07-01 17:16:53	Puerta
35	48600	2015-07-01 17:16:53	Puerta
35	48600	2015-07-01 20:17:05	Puerta
35	48600	2015-07-01 20:17:05	Puerta
35	48600	2015-07-01 20:17:05	Puerta
35	48600	2015-07-01 20:17:05	Puerta
35	48600	2015-07-01 20:17:05	Puerta
35	48600	2015-07-01 20:17:08	Entrada
35	48600	2015-07-01 20:17:50	Salon
35	48600	2015-07-01 20:33:45	Habitación 1
35	48600	2015-07-01 20:37:14	Habitación 2
35	48600	2015-07-01 20:43:34	Entrada
35	48600	2015-07-01 20:53:01	Cocina
35	48600	2015-07-01 21:13:31	Entrada
35	48600	2015-07-01 21:13:44	Salon
35	48600	2015-07-01 21:21:26	Entrada
35	48600	2015-07-01 21:28:06	Entrada
35	48600	2015-07-01 21:33:10	Entrada
35	48600	2015-07-01 21:44:57	Entrada
35	48600	2015-07-01 21:53:45	Entrada
35	48600	2015-07-01 22:08:12	Entrada
35	48600	2015-07-01 22:16:58	Entrada
35	48600	2015-07-01 22:23:14	Entrada
35	48600	2015-07-01 22:34:11	Entrada
35	48600	2015-07-01 22:44:24	Salon
35	48600	2015-07-01 22:44:42	Baño pequeño
35	48600	2015-07-01 22:47:04	Habitación 2
35	48600	2015-07-01 22:47:30	Entrada
35	48600	2015-07-01 22:47:39	Salon
35	48600	2015-07-01 22:47:40	Entrada
35	48600	2015-07-01 22:47:43	Salon
35	48600	2015-07-01 22:58:13	Entrada
35	48600	2015-07-01 22:58:16	Salon
35	48600	2015-07-01 23:04:41	Entrada
35	48600	2015-07-01 23:23:45	Entrada
35	48600	2015-07-01 23:35:40	Entrada
35	48600	2015-07-01 23:37:43	Salon
35	48600	2015-07-01 23:41:04	Entrada
35	48600	2015-07-01 23:46:17	Entrada
35	48600	2015-07-01 23:55:56	Entrada
35	48600	2015-07-02 00:13:34	Entrada
35	48600	2015-07-02 00:20:16	Entrada
35	48600	2015-07-02 00:27:42	Baño pequeño
35	48600	2015-07-02 00:33:20	Baño pequeño
35	48600	2015-07-02 00:34:06	Entrada
35	48600	2015-07-02 00:34:09	Salon
